Time,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,HRR Door Jet Fires,HRR Door Jet Fires,HRR Door Jet Fires,HRR Door Jet Fires,Plume Entrainment Rate,Pyrolysis Rate,HRR,HRR Lower,HRR Upper,Flame Height,Convective HRR,Total Pyrolysate Released,Total Trace Species Released,Plume Entrainment Rate,Pyrolysis Rate,HRR,HRR Lower,HRR Upper,Flame Height,Convective HRR,Total Pyrolysate Released,Total Trace Species Released,
,Comp 1,Comp 1,Comp 1,Comp 1,Comp 1,Comp 2,Comp 2,Comp 2,Comp 2,Comp 2,Comp 3,Comp 3,Comp 3,Comp 3,Comp 3,Comp 1,Comp 2,Comp 3,Outside,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,
s,C,C,m,m^3,Pa,C,C,m,m^3,Pa,C,C,m,m^3,Pa,W,W,W,W,kg/s,kg/s,W,W,W,m,W,kg,kg,kg/s,kg/s,W,W,W,m,W,kg,kg,
 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00,
 0.100000E+02, 0.243294E+02, 0.200242E+02, 0.273350E+01, 0.666246E+01,-0.913358E-03, 0.208225E+02, 0.200022E+02, 0.290176E+01, 0.245593E+01,-0.674535E-03, 0.200006E+02, 0.200000E+02, 0.299179E+01, 0.205369E+00,-0.517421E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.926045E+00, 0.333333E-03, 0.166667E+05, 0.166667E+05, 0.000000E+00, 0.360153E+00, 0.111667E+05, 0.171257E-02, 0.000000E+00, 0.441443E+00, 0.690608E-04, 0.125000E+04, 0.125000E+04, 0.000000E+00, 0.000000E+00, 0.837500E+03, 0.354815E-03, 0.000000E+00,
 0.200000E+02, 0.277432E+02, 0.201034E+02, 0.240087E+01, 0.149782E+02,-0.359517E-02, 0.212785E+02, 0.200095E+02, 0.274660E+01, 0.633491E+01,-0.139684E-02, 0.200032E+02, 0.200000E+02, 0.298157E+01, 0.460743E+00,-0.473520E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.918281E+00, 0.666667E-03, 0.333333E+05, 0.333333E+05, 0.000000E+00, 0.591514E+00, 0.223333E+05, 0.686267E-02, 0.000000E+00, 0.509423E+00, 0.138122E-03, 0.250000E+04, 0.250000E+04, 0.000000E+00, 0.293999E-01, 0.167500E+04, 0.142182E-02, 0.000000E+00,
 0.300000E+02, 0.314271E+02, 0.202484E+02, 0.208205E+01, 0.229488E+02,-0.854103E-02, 0.217188E+02, 0.200230E+02, 0.257924E+01, 0.105191E+02,-0.242844E-02, 0.201820E+02, 0.200000E+02, 0.296779E+01, 0.805314E+00,-0.389623E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.818975E+00, 0.100000E-02, 0.500000E+05, 0.500000E+05, 0.000000E+00, 0.759753E+00, 0.335000E+05, 0.153407E-01, 0.000000E+00, 0.529486E+00, 0.207182E-03, 0.375000E+04, 0.375000E+04, 0.000000E+00, 0.660251E-01, 0.251250E+04, 0.317832E-02, 0.000000E+00,
 0.400000E+02, 0.355294E+02, 0.204690E+02, 0.180511E+01, 0.298723E+02,-0.180894E-01, 0.222344E+02, 0.200440E+02, 0.239672E+01, 0.150821E+02,-0.415630E-02, 0.205714E+02, 0.200001E+02, 0.294955E+01, 0.126123E+01,-0.263599E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.707583E+00, 0.133333E-02, 0.666667E+05, 0.666667E+05, 0.000000E+00, 0.896796E+00, 0.446667E+05, 0.271182E-01, 0.000000E+00, 0.521769E+00, 0.276243E-03, 0.500000E+04, 0.500000E+04, 0.000000E+00, 0.930801E-01, 0.335000E+04, 0.561840E-02, 0.000000E+00,
 0.500000E+02, 0.401321E+02, 0.207631E+02, 0.161487E+01, 0.346283E+02,-0.358438E-01, 0.232152E+02, 0.200719E+02, 0.217668E+01, 0.205829E+02,-0.793482E-02, 0.210309E+02, 0.200002E+02, 0.292516E+01, 0.187106E+01, 0.532782E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.633074E+00, 0.166667E-02, 0.833333E+05, 0.833333E+05, 0.000000E+00, 0.101450E+01, 0.558333E+05, 0.422843E-01, 0.000000E+00, 0.486978E+00, 0.345304E-03, 0.625000E+04, 0.625000E+04, 0.000000E+00, 0.114514E+00, 0.418750E+04, 0.876057E-02, 0.000000E+00,
 0.600000E+02, 0.452662E+02, 0.211115E+02, 0.150540E+01, 0.373649E+02,-0.593005E-01, 0.246473E+02, 0.201070E+02, 0.194154E+01, 0.264616E+02,-0.145827E-01, 0.216307E+02, 0.200004E+02, 0.289225E+01, 0.269381E+01, 0.477593E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.598667E+00, 0.200000E-02, 0.100000E+06, 0.100000E+06, 0.000000E+00, 0.111879E+01, 0.670000E+05, 0.607838E-01, 0.000000E+00, 0.437626E+00, 0.414365E-03, 0.750000E+04, 0.750000E+04, 0.000000E+00, 0.132235E+00, 0.502500E+04, 0.125933E-01, 0.000000E+00,
 0.700000E+02, 0.505372E+02, 0.214742E+02, 0.145361E+01, 0.386598E+02,-0.861408E-01, 0.264183E+02, 0.201515E+02, 0.172035E+01, 0.319911E+02,-0.266850E-01, 0.223891E+02, 0.200008E+02, 0.284938E+01, 0.376541E+01, 0.114153E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.581417E+00, 0.216667E-02, 0.108333E+06, 0.108333E+06, 0.000000E+00, 0.116703E+01, 0.725833E+05, 0.816661E-01, 0.000000E+00, 0.387282E+00, 0.483425E-03, 0.875000E+04, 0.875000E+04, 0.000000E+00, 0.147314E+00, 0.586250E+04, 0.171026E-01, 0.000000E+00,
